Rank,Company,Industry,Revenue,Employees
221,Boston Scientific,Medical Products and Equipment,$19.4B,53K
222,AutoZone,Specialty Retailers: Other,$19.3B,100.8K
223,General Mills,Food Consumer Products,$19.2B,34K
224,Dollar Tree,Specialty Retailers: Other,$19B,139.6K
225,Cheniere Energy,Pipelines,$18.9B,1.7K
226,Cleveland-Cliffs,Metals,$18.6B,30K
227,Ameriprise Financial,Diversified Financials,$18.5B,13.6K
228,Aramark,Diversified Outsourcing Services,$18.5B,266.7K
229,Lincoln National,"Insurance: Life, Health (Stock)",$18.4B,9.8K
230,Corebridge Financial,Diversified Financials,$18.3B,5.2K
231,Goodyear Tire & Rubber,Motor Vehicles & Parts,$18.3B,68K
232,Truist Financial,Commercial Banks,$18.3B,37.6K
233,Loews,Insurance: Property and Casualty (Stock),$18.3B,13K
234,Carvana,"Automotive Retailing, Services",$18.3B,17.4K
235,Global Partners,Energy,$18.1B,3.8K
236,Edison International,Utilities: Gas and Electric,$18.1B,14K
237,Emerson Electric,Industrial Machinery,$18B,73K
238,Asbury Automotive,"Automotive Retailing, Services",$17.8B,15K
239,W.W. Grainger,Wholesalers: Diversified,$17.8B,25K
240,Aflac,"Insurance: Life, Health (Stock)",$17.7B,12.7K
241,Manpower,Diversified Outsourcing Services,$17.6B,26.7K
242,Steel Dynamics,Metals,$17.6B,13K
243,Pulte,Homebuilders,$17.6B,6.8K
244,Discover Financial,Diversified Financials,$17.5B,21K
245,Corteva,Food Production,$17.5B,22K
246,O'Reilly Automotive,Specialty Retailers: Other,$17.5B,85.6K
247,Targa Resources,Pipelines,$17.4B,3.4K
248,Leidos,Information Technology Services,$17.3B,48K
249,MGM Resorts International,"Hotels, Casinos, Resorts",$17.3B,69K
250,Texas Instruments,Semiconductors and Other Electronic Components,$17.3B,34K
251,Vistra,Energy,$17.2B,6.8K
252,Murphy USA,Specialty Retailers: Other,$17B,11.6K
253,Universal Health Services,Health Care: Medical Facilities,$17B,87.5K
254,Casey's General Stores,Specialty Retailers: Other,$17B,33.1K
255,Peter Kiewit Sons',Engineering & Construction,$16.8B,31.8K
256,Consolidated Edison,Utilities: Gas and Electric,$16.6B,15.1K
257,Devon Energy,"Mining, Crude-Oil Production",$16.6B,2.3K
258,C.H. Robinson Worldwide,Transportation and Logistics,$16.5B,13.8K
259,Republic Services,Waste Management,$16.5B,42K
260,Guardian Life,"Insurance: Life, Health (Mutual)",$16.5B,7.5K
261,Fox,Entertainment,$16.5B,10.2K
262,Kinder Morgan,Pipelines,$16.4B,10.9K
